,Years,Coal_prod,Oil_prod,Gas_prod,Renewable_en_prod,Total_en_prod,Total_en_consumption
0,1960,26409.0,5379378.0,6602696.0,50155.0,12058639.0,4416216.0
1,1961,26535.0,5447308.0,6682140.0,52023.0,12208006.0,4447880.0
2,1962,25855.0,5471272.0,6812787.0,47721.0,12357635.0,4640675.0
3,1963,27441.0,5671135.0,6952455.0,42718.0,12693749.0,4894089.0
4,1964,28839.0,5739216.0,7311876.0,43884.0,13123816.0,5012683.0
5,1965,30349.0,5804308.0,7436127.0,48967.0,13319750.0,5212184.0
6,1966,28360.0,6127692.0,7746648.0,51980.0,13954680.0,5557255.0
7,1967,27102.0,6480449.0,7934585.0,49944.0,14492080.0,5879030.0
8,1968,28839.0,6555601.0,8271293.0,62939.0,14918671.0,6268911.0
9,1969,28310.0,6664147.0,8654795.0,64351.0,15411603.0,6656323.0
10,1970,29078.0,7235420.0,9213703.0,62757.0,16540958.0,6921781.0
11,1971,28360.0,7083023.0,9438928.0,60471.0,16610783.0,7233774.0
12,1972,50918.0,7539574.0,9550844.0,67560.0,17208895.0,7623194.0
13,1973,97216.0,7499885.0,9375616.0,78102.0,17050819.0,8241366.0
14,1974,107576.0,7312336.0,9006053.0,76691.0,16502656.0,8093721.0
15,1975,144160.0,7081272.0,8282525.0,75872.0,15583828.0,7511439.0
16,1976,182651.0,6891268.0,7974291.0,75965.0,15124174.0,7835920.0
17,1977,209460.0,6594513.0,7830026.0,82566.0,14716565.0,8475779.0
18,1978,265268.0,6217629.0,7085791.0,84175.0,13652863.0,8941144.0
19,1979,356524.0,5885352.0,7409524.0,89721.0,13741121.0,9308055.0
20,1980,385041.0,5615319.0,7228720.0,65819.0,13294899.0,9385670.0
21,1981,418838.0,5407630.0,6967250.0,70520.0,12864237.0,9147556.0
22,1982,448801.0,5267659.0,6380060.0,80452.0,12176971.0,8471394.0
23,1983,493048.0,5120884.0,5834372.0,75817.0,11524121.0,8406461.0
24,1984,515269.0,5122409.0,6098210.0,87064.0,11822952.0,8946242.0
25,1985,574734.0,5041464.0,6038458.0,93532.0,11748188.0,9011817.0
26,1986,615490.0,4753651.0,5902400.0,110360.0,11381901.0,9007599.0
27,1987,640051.0,4413580.0,5671833.0,116905.0,10842369.0,9240071.0
28,1988,658102.0,4265871.0,5787320.0,108936.0,10860430.0,9811771.0
29,1989,675280.0,3991380.0,5638965.0,125459.0,10536806.0,10093725.0
30,1990,706720.0,3935172.0,5653163.0,115294.0,10578173.0,10272320.0
31,1991,674067.0,3959173.0,5644617.0,120330.0,10605768.0,10278273.0
32,1992,685491.0,3773613.0,5611228.0,133852.0,10460686.0,10445158.0
33,1993,682967.0,3590722.0,5727099.0,117228.0,10248337.0,10554352.0
34,1994,660044.0,3426263.0,5825006.0,114097.0,10325858.0,10879574.0
35,1995,664511.0,3245947.0,5822544.0,117889.0,10230734.0,11070854.0
36,1996,709509.0,3151384.0,5898493.0,110535.0,10245577.0,11832246.0
37,1997,687914.0,3112187.0,5883165.0,122666.0,10197964.0,12237335.0
38,1998,677016.0,2927040.0,6002817.0,110071.0,10122789.0,12418135.0
39,1999,671989.0,2605551.0,5767547.0,93994.0,9523222.0,12077034.0
40,2000,632360.0,2571703.0,5989538.0,96071.0,9681342.0,12420851.0
41,2001,578696.0,2460923.0,5971835.0,96535.0,9506522.0,12200928.0
42,2002,581168.0,2353501.0,5844637.0,121028.0,9272256.0,12508396.0
43,2003,594734.0,2323851.0,5902223.0,115457.0,9284751.0,12295541.0
44,2004,572489.0,2277741.0,5764490.0,120813.0,9157192.0,12333678.0
45,2005,595612.0,2277086.0,5973867.0,137517.0,9383076.0,11858030.0
