Years,prodValues,prodType,totalComp,totalProd,subType,state
1960,0,Coal Production,3449919,2631707,Actual,California
1961,0,Coal Production,3609108,2620632,Actual,California
1962,0,Coal Production,3724117,2693123,Actual,California
1963,0,Coal Production,3923736,2845524,Actual,California
1964,0,Coal Production,4219633,2833855,Actual,California
1965,0,Coal Production,4385719,3010487,Actual,California
1966,0,Coal Production,4645217,3167320,Actual,California
1967,0,Coal Production,4841003,3340273,Actual,California
1968,0,Coal Production,5115122,3395904,Actual,California
1969,0,Coal Production,5356783,3464304,Actual,California
1970,0,Coal Production,5499139,3310500,Actual,California
1971,0,Coal Production,5747656,3172161,Actual,California
1972,0,Coal Production,5872011,2951080,Actual,California
1973,0,Coal Production,6047069,2929685,Actual,California
1974,0,Coal Production,5816324,2882164,Actual,California
1975,0,Coal Production,6032845,2790403,Actual,California
1976,0,Coal Production,6186312,2686499,Actual,California
1977,0,Coal Production,6361466,2736117,Actual,California
1978,0,Coal Production,6472696,2957101,Actual,California
1979,0,Coal Production,6727621,2917314,Actual,California
1980,0,Coal Production,6540472,2999587,Actual,California
1981,0,Coal Production,6332205,3071793,Actual,California
1982,0,Coal Production,6076050,3337623,Actual,California
1983,0,Coal Production,6092316,3502204,Actual,California
1984,0,Coal Production,6533180,3587630,Actual,California
1985,852,Coal Production,6601489,3635369,Actual,California
1986,0,Coal Production,6501121,3648616,Actual,California
1987,552,Coal Production,6938475,3424311,Actual,California
1988,648,Coal Production,7143783,3342016,Actual,California
1989,492,Coal Production,7420327,3409250,Actual,California
1990,732,Coal Production,7443750,3278496,Actual,California
1991,684,Coal Production,7342269,3252353,Actual,California
1992,1236,Coal Production,7308211,3186979,Actual,California
1993,0,Coal Production,7146526,3205282,Actual,California
1994,0,Coal Production,7273603,2985941,Actual,California
1995,0,Coal Production,7297478,3090625,Actual,California
1996,0,Coal Production,7422343,3134670,Actual,California
1997,0,Coal Production,7538784,3048656,Actual,California
1998,0,Coal Production,7831111,3191189,Actual,California
1999,0,Coal Production,7852568,3103332,Actual,California
2000,0,Coal Production,7921270,3067344,Actual,California
2001,0,Coal Production,7955161,2875661,Actual,California
2002,0,Coal Production,8008105,2925697,Actual,California
2003,0,Coal Production,7892261,2903093,Actual,California
