Years,Coal_prod,Gas_prod,Oil_prod,Renewable_en_prod,Total_en_prod,Total_en_consumption
1960,0,590504,1771042,270161,2631707,3449919
1961,0,634667,1737732,248178,2620632,3609108
1962,0,643771,1720222,329046,2693123,3724117
1963,0,737636,1745266,360333,2845524,3923736
1964,0,757678,1740052,331757,2833855,4219633
1965,0,753494,1835282,418518,3010487,4385719
1966,0,786837,2002711,375877,3167320,4645217
1967,0,777108,2083470,473192,3340273,4841003
1968,0,815688,2165847,397366,3395904,5115122
1969,0,773239,2119020,544918,3464304,5356783
1970,0,740638,2013508,521978,3310500,5499139
1971,0,701427,1898806,533790,3172161,5747656
1972,0,562637,1881865,472312,2951080,5872011
1973,0,507744,1840090,553162,2929685,6047069
1974,0,419744,1776070,645073,2882164,5816324
1975,0,365735,1779234,578578,2790403,6032845
1976,0,400688,1809853,422852,2686499,6186312
1977,0,354013,1956636,338073,2736117,6361466
1978,0,352532,1944168,576601,2957101,6472696
1979,0,282666,1979523,559806,2917314,6727621
1980,0,342529,2011465,591928,2999587,6540472
1981,0,415048,2119146,502232,3071793,6332205
1982,0,432864,2164421,698981,3337623,6076050
1983,0,463728,2170134,807128,3502204,6092316
1984,0,527247,2213402,693614,3587630,6533180
1985,852,546252,2285212,593488,3635369,6601489
1986,0,511561,2192742,666981,3648616,6501121
1987,552,469061,2114726,522673,3424311,6938475
1988,648,444625,2057434,512100,3342016,7143783
1989,492,404886,1920809,738917,3409250,7420327
1990,732,401448,1861034,669326,3278496,7443750
1991,684,414390,1853083,653513,3252353,7342269
1992,1236,402577,1771830,642293,3186979,7308211
1993,0,352853,1699922,820783,3205282,7146526
1994,0,340415,1659148,633599,2985941,7273603
1995,0,308580,1618067,846185,3090625,7297478
1996,0,320843,1637972,817736,3134670,7422343
1997,0,314186,1653998,760278,3048656,7538784
1998,0,350247,1645037,832978,3191189,7831111
1999,0,411088,1583499,760009,3103332,7852568
2000,0,391339,1572566,736594,3067344,7921270
2001,0,408873,1511845,608031,2875661,7955161
2002,0,394973,1495808,676209,2925697,8008105
2003,0,373822,1438939,719373,2903093,7892261
2004,0,356787,1392800,697397,2762618,8260248
2005,0,354384,1335334,741140,2808170,8166058
2006,0,351706,1293487,821968,2800649,8289269
2007,0,343379,1267404,631941,2618152,8260040
2008,0,331830,1244291,603931,2519558,8075576
2009,0,310439,1202120,646780,2491556,7774309
2010,0,320668,1162146,715550,2534927,7760676
2011,0,280255,1137798,837314,2639011,7768794
2012,0,278232,1143824,703607,2319603,7549440
2013,0,287883,1153782,741782,2370609,7638003
2014,0,271757,1187254,746468,2383135,7584837
2015,0,271086,1150741,734669,2350026,7672710
2016,0,234094,1064744,927056,2423649,7819232
2017,0,236845,996414,1115301,2535788,7881348
2018,0,243316.076,1086916.412,862814.955,2380814.947,7770731.694
2019,0,242025.617,1096104.597,848008.259,2339708.597,7732100.754
2020,0,231846.627,1082305.679,866928.27,2292572.015,7696234.297
2021,0,236704.622,1074583.879,855163.521,2321092.47,7665910.94
2022,0,225949.605,1088978.725,806008.819,2304996.629,7705070.605
2023,0,215997.846,1071167.95,829557.957,2314855.465,7708754.082
2024,0,207947.893,1072524.255,726644.647,2323984.717,7714757.257
2025,0,199916.543,1052554.788,645921.998,2271944.839,7720130.461
2026,0,198369.185,1054237.167,734119.422,2302350.059,7704354.101
2027,0,189605.968,1055597.399,764128.821,2286677.72,7670336.305
2028,0,192479.452,1047932.81,730720.491,2302376.324,7664864.452
2029,0,186927.913,1070235.423,695719.966,2311954.841,7639362.499
2030,0,185654.763,1067617.8,746086,2312921.268,7614937.033
2031,0,180913.716,1047201.855,708372.191,2341000.155,7637474.32
2032,0,176418.138,1029879.128,727895.723,2287695.305,7672677.924
2033,0,175008.743,1043687.06,834057.098,2295211.594,7702755.523
2034,0,174650.135,1038069.013,842489.434,2341472.471,7730107.58
2035,0,174948.061,1047501.206,709899.78,2300641.602,7745928.65
2036,0,174215.306,1046497.776,770054.766,2336572.983,7719422.034
2037,0,176099.448,1041799.763,827386.172,2355270.334,7724111.04
2038,0,173923.022,1052128.033,829848.063,2302873.66,7719402.131
2039,0,176105.835,1031884.502,897471.777,2340119.143,7710733.988
2040,0,177623.447,1038303.318,882994.209,2330624.991,7711205.311
