Years,prodValues,prodType,totalComp,totalProd,subType,state
1960,26409,Coal Production,4416216,12058639,Actual,Texas
1961,26535,Coal Production,4447880,12208006,Actual,Texas
1962,25855,Coal Production,4640675,12357635,Actual,Texas
1963,27441,Coal Production,4894089,12693749,Actual,Texas
1964,28839,Coal Production,5012683,13123816,Actual,Texas
1965,30349,Coal Production,5212184,13319750,Actual,Texas
1966,28360,Coal Production,5557255,13954680,Actual,Texas
1967,27102,Coal Production,5879030,14492080,Actual,Texas
1968,28839,Coal Production,6268911,14918671,Actual,Texas
1969,28310,Coal Production,6656323,15411603,Actual,Texas
1970,29078,Coal Production,6921781,16540958,Actual,Texas
1971,28360,Coal Production,7233774,16610783,Actual,Texas
1972,50918,Coal Production,7623194,17208895,Actual,Texas
1973,97216,Coal Production,8241366,17050819,Actual,Texas
1974,107576,Coal Production,8093721,16502656,Actual,Texas
1975,144160,Coal Production,7511439,15583828,Actual,Texas
1976,182651,Coal Production,7835920,15124174,Actual,Texas
1977,209460,Coal Production,8475779,14716565,Actual,Texas
1978,265268,Coal Production,8941144,13652863,Actual,Texas
1979,356524,Coal Production,9308055,13741121,Actual,Texas
1980,385041,Coal Production,9385670,13294899,Actual,Texas
1981,418838,Coal Production,9147556,12864237,Actual,Texas
1982,448801,Coal Production,8471394,12176971,Actual,Texas
1983,493048,Coal Production,8406461,11524121,Actual,Texas
1984,515269,Coal Production,8946242,11822952,Actual,Texas
1985,574734,Coal Production,9011817,11748188,Actual,Texas
1986,615490,Coal Production,9007599,11381901,Actual,Texas
1987,640051,Coal Production,9240071,10842369,Actual,Texas
1988,658102,Coal Production,9811771,10860430,Actual,Texas
1989,675280,Coal Production,10093725,10536806,Actual,Texas
1990,706720,Coal Production,10272320,10578173,Actual,Texas
1991,674067,Coal Production,10278273,10605768,Actual,Texas
1992,685491,Coal Production,10445158,10460686,Actual,Texas
1993,682967,Coal Production,10554352,10248337,Actual,Texas
1994,660044,Coal Production,10879574,10325858,Actual,Texas
1995,664511,Coal Production,11070854,10230734,Actual,Texas
1996,709509,Coal Production,11832246,10245577,Actual,Texas
1997,687914,Coal Production,12237335,10197964,Actual,Texas
1998,677016,Coal Production,12418135,10122789,Actual,Texas
1999,671989,Coal Production,12077034,9523222,Actual,Texas
2000,632360,Coal Production,12420851,9681342,Actual,Texas
