Year,CLPRB AK
1960,11263
1961,11497
1962,13588
1963,13307
1964,11622
1965,13931
1966,14461
1967,14430
1968,11700
1969,10405
1970,8564
1971,10889
1972,10421
1973,10826
1974,10920
1975,11950
1976,11014
1977,10998
1978,11404
1979,12308
1980,12340
1981,12605
1982,12995
1983,12262
1984,13400
1985,22355
1986,24492
1987,23275
1988,27222
1989,24679
1990,26614
1991,22402
1992,23930
1993,24976
1994,24445
1995,26489
1996,23104
1997,22620
1998,20966
1999,24414
2000,25600
2001,23618
2002,17878
2003,16864
2004,23587
2005,22682
2006,22230
2007,20654
2008,23041
2009,29016
2010,33556
2011,33524
2012,31332
2013,24917
2014,22944
2015,17747
2016,13942
2017,14365
